mm_baydhowi,belom pernah nyobain buku berbahasa inggris ori min. mo beli di amazon ongkirnya sm ke harga.. mo beli non ori takut dosa 😄
mellyyyyy122,belum nyobain holiday dari awal pandemi
fitriawidiastutii,"males sok mendramatisir, intinya aja belum pernah punya  laptop khusus nge desain kak @ecamaresha @ikoy2an 🙏"
achvj_,"ini belum selesai kan yaak? 😁 @ikoy2an @ecamaresha @ariefmuhammad .. pengen dibikin happy buat nyobain conversenya bang @ariefmuhammad 😅 kaki saya fleksibel bang, muat semua ukuran 😁"
galuhshyta,belum pernah nyobain dear butter croffle😢
x.chrs.ap,belum pernah nyobain @basoaciakang :)
ianhasaan,yuhuuuuu.... d papua blm prnah tinggal d hotel bintang 5 hahaha
lilasepta,belom pernah pake skin care merk mas glow kakakkk @ikoy2an 😂😂
syaarfiin,"belum perna makan fine dining gitu, pasti pengalamannya seru banget ini"
willykitchen_,"belum punya modal buat endorse jualan sambel saya bang, pengen di kenal orang banyak dan laris manis jualan nya, lancar jaya pokonya."
amnuubai_,bismillah kk butuh hp biar gk barengan trss sm adx
efendy1011,"aku harap bisa membantu sekitar sayang tengan tenaga uang dan doa
yg terpenting saya sehat dan di beri rezeki yg halal"
aatttuuuulllll_,belum pernah punya pacar :)
seeelllyyyy,belum nyoba smart tv min ... tv kemarin rusak sm bocil ..... bismillah rezeki amiiin .... @ikoy2an
rnldikristi,liburan di pangalengan bandung enak kayaknya min healing2 hahaha
akmal_musta,pengen dapet rejeki buat kasih surprise keistri yang lagi nunggu hpl lahiran anak pertama
rfqymchrrr_,pengen megang iphone :(
andreferdinan2493,"pengen punya macbook pro bekas di @laptopsss ,mau buat editing dan streamer gaming, belum ada modal belinya , semoga disini ada rejekinya , doa yang terbaik buat kalian @ecamaresha @ariefmuhammad @ikoy2an ,gagal terus ya coba lagi, kali aja beruntung"
nindaaxx4_,"belum punya laptop, please 🥺"
rizka_steadinata,kali aja yg telat bisa dibikin happy jg.. ajakin anak2 happy ke timezone terdekat.. 😇
juliawanard,pen ngerasain jajan ke starbuck haha
ceuungch,belum pernah kesampaian punya laptop :( kadang kesel kalo ngerjain kerjaan by phone hpnya ngelag bangetttt😭
dilaysf26,blom pernah punya converse shoes yg original 😂 zaman spg dulu pake converse pasar jiung 😂😂
preshtie,"pengen beli timbangan, lagi proses naikin bb biar ideal :))"
ghiffarifb,belom pernah jadi member gym + pt nya haha
teoarif,pengen banget punya raket yonex original lagi krn dlu wkt kecil selalu pake raket yonex krn di beliin ortu 😂
rhafazka89,pengen liburan ke bandung sama anak dan nyobain makan oyster mentah yg fresh tp gk prnh menang ikoy2an
mumusehati,"belum pernah punya iphone 😂😂😂 mau banget deh beli iphone kk @ecamaresha nunggu tfan dr kak @selli.sintani hihihi 😍 kali aja ini mah dapet tf an buat beli iphone, yaaa minimal ip xr 😂😂😂❤️❤️❤️❤️"
giritenggara,"pengen traktir kedua orang tua ku makan enak , udah mw 5 tahun ga prnh makan bareng gt d luar. sejak papa pensiun"
its_miun_valentino,"masih bisa ikutan ga ya? belom pernah bisa ganti hp yg sekarang, udah nabung, kepake buat sehari2 padahal hp yg skrg ini udah error dan layak pensiun kayanya hehe moga bisa dpt rejeki dari @ikoy2an @ecamaresha @ariefmuhammad"
adit_akbar500,mau beliin sepatu safety sama baju yang bagus buat yang orang kerja ambil ambil sampah setiap rumah dikampung gue min.
retnowahyuni4,"pengen beliin eksrim anak-anak di gang , biar pada seneng, soalnya happy aja ngeliat anak anak seneng 😊"
serius.bisnis,mau body care maresha sama lip cream nude😢
ayu_iindrii25,masyaallah. yg terpilih komentar nya cuma via per detik. berarti aku udh komen dari kemaren trus ga terpilih pupus harapan buat dpt kyknya 😂 ga mau spam juga. selamat buat yg dapet. semoga bermanfaat dan buat kak @ecamaresha dan tim @ikoy2an  semoga berkah dunia akhirat❤️
